ID,Pixels Internos,Pixels Borda,Pixels Internos (env. conv),Pixels Borda (env. conv),Perimetro,Diametro Maior,Diametro Menor
0,19,21,0,0,23.2,7,1
1,14,30,0,0,38.2,8,1
0,17,27,0,0,26.86,8,2
1,9,45,0,0,46.34,8,1
0,21,22,0,0,24.4,7,1
1,12,35,0,0,45.4,8,1
2,23,23,0,0,33,8,5
3,4,41,0,0,52.7,8,1
4,22,25,0,0,34.4,8,5
5,5,30,0,0,34.4,6,1
6,0,21,0,0,27.9,4,1
7,13,42,0,0,42.5,8,1
8,13,19,0,0,23.4,8,1
9,15,40,0,0,49.8,8,1
10,19,25,0,0,31.9,8,3
11,12,33,0,0,39.4,8,1
12,19,22,0,0,23.2,8,1
13,9,33,0,0,41.1,8,1
14,21,23,0,0,29.5,8,3
15,4,42,0,0,51.9,8,1
0,20,21,0,0,27.3,7,1
1,14,34,0,0,46.6,8,1
0,21,19,0,0,24.04,7,1
1,15,29,0,0,41.08,8,1
0,21,19,21,19,22.92,7,1
1,15,31,15,31,43.58,8,1
