ID,Pixels Internos,Pixels Borda,Pixels Internos (env. conv),Pixels Borda (env. conv),Perimetro,Diametro Maior,Diametro Menor
0,22,19,0,0,31.26,7,1
1,16,26,0,0,35.75,8,1
2,24,20,0,0,28.22,8,4
3,7,29,0,0,35.89,8,1
4,24,23,0,0,30.83,8,5
5,8,24,0,0,28.76,6,1
6,0,19,0,0,23.01,4,1
7,21,24,0,0,27.61,8,1
8,13,19,0,0,23.66,8,3
9,24,29,0,0,39.44,8,1
10,22,22,0,0,26.46,8,3
11,15,24,0,0,28.56,8,1
12,19,21,0,0,23.01,8,1
13,12,26,0,0,34.09,8,1
14,21,23,0,0,28.69,7,3
15,7,32,0,0,38.88,7,1
16,9,26,0,0,33.83,7,1
17,0,25,0,0,26.76,4,1
18,14,25,0,0,31.54,8,2
19,17,26,0,0,31.17,8,2
20,15,23,0,0,28.07,8,1
21,15,28,0,0,34.02,8,1
22,6,17,0,0,23.5,4,1
23,4,29,0,0,32.92,8,1
24,14,19,0,0,22.15,8,1
25,1,27,0,0,30.98,8,1
26,12,37,0,0,46.88,8,2
27,2,24,0,0,28.19,7,1
28,2,21,0,0,23.25,7,1
29,16,44,0,0,54.26,8,1
30,2,18,0,0,19.86,6,1
31,18,42,0,0,52.29,8,6
32,25,19,0,0,24.14,8,1
33,14,31,0,0,40.94,8,1
34,18,23,0,0,27.84,8,2
35,0,19,0,0,25.45,6,1
36,4,18,0,0,21.17,4,1
37,12,37,0,0,53.9,8,1
38,3,22,0,0,27.13,7,1
39,3,27,0,0,36.82,6,1
40,20,22,0,0,23.05,8,1
41,8,34,0,0,46.39,8,1
42,0,23,0,0,25.99,4,1
43,3,21,0,0,28.57,5,1
44,20,24,0,0,30.58,8,2
45,16,35,0,0,47.89,8,1
46,6,21,0,0,27.33,7,1
47,3,21,0,0,29.68,7,1
48,5,23,0,0,30.38,6,2
49,19,30,0,0,39.27,8,3
50,14,16,0,0,21.66,6,3
51,19,23,0,0,27.66,8,1
52,0,17,0,0,24.43,4,1
53,1,20,0,0,31.66,7,1
54,11,19,0,0,25.64,5,1
55,0,21,0,0,27.51,5,1
56,17,37,0,0,46.31,8,1
57,6,36,0,0,49.44,8,1
58,11,32,0,0,42.37,8,1
59,7,41,0,0,53.06,8,1
60,22,25,0,0,33.64,8,1
61,25,25,0,0,35.59,8,3
62,15,34,0,0,45.72,8,2
63,16,36,0,0,47.7,8,2
64,10,27,0,0,33.33,6,1
65,3,29,0,0,40.72,7,1
66,18,26,0,0,33.09,8,1
67,5,34,0,0,45.37,8,1
68,3,28,0,0,36.38,6,1
69,23,20,0,0,24.4,8,1
70,0,8,0,0,19.34,8,1
71,0,18,0,0,26.23,3,1
72,14,22,0,0,22.11,8,3
73,18,26,0,0,31.84,8,1
74,0,20,0,0,31.93,5,1
75,0,22,0,0,32.46,7,1
76,15,22,0,0,29.91,8,1
77,11,21,0,0,29.98,7,1
78,2,20,0,0,28.84,8,1
79,0,19,0,0,33.37,7,1
80,9,21,0,0,26.32,8,1
81,8,26,0,0,32.36,7,1
82,24,27,0,0,26.49,8,1
83,24,21,0,0,29.45,7,5
84,26,22,0,0,25.46,8,2
85,26,20,0,0,26.78,7,5
86,26,24,0,0,24.84,8,1
87,23,23,0,0,30.34,7,5
88,27,21,0,0,24.57,8,2
89,24,23,0,0,28.36,8,1
90,28,20,0,0,25.22,8,2
91,25,22,0,0,29.71,8,1
92,26,23,0,0,23.97,8,1
93,27,24,0,0,28.65,8,1
94,18,41,0,0,70.78,8,1
95,9,38,0,0,49.69,8,1
0,22,19,0,0,31.42,7,1
1,16,26,0,0,34.86,8,1
